Number	Votes	Question
Q1	10	Comparing JAVA swing MVC with Android design pattern
Q2	4	Android development patterns
Q3	3	Passing the Model to the View in MVC
Q4	3	Implementing a generic list that can hold multiple data types in Java/JavaFX
Q5	3	JavaFX UI Controls Architecture (Control+Skin) with FXML
Q6	3	Does the use of ObservableList in JavaFX go against Model-View-Controller separation?
Q7	3	MVC with javaFX
Q8	2	MVC Pattern with multiple objects
Q9	2	Significance of return type in spring file download controllers
Q10	2	MVC and jsp what is view?
