Number	Votes	Question
Q1	13	Obfuscating Play 2 web app on dist with Proguard?
Q2	7	Caching with Play framework and Java
Q3	6	How to disable http port in play framework?
Q4	5	Play framework async processing and blocking I/O in Java
Q5	4	GCM - Could not post JSON requests to GCM after 6 attempts
Q6	4	How can I do a verbose compile in Play Framework?
Q7	4	How do I handle a session timeout or expiration in Play Framework?
Q8	4	Configure QueryDSL on Play 2 Framework
Q9	4	How to share application.conf file between subprojects?
Q10	3	How to use JPA Prepared statment for Insert query in java
