Number	Votes	Question
Q1	4	Set cursor for jTabbedPane&#39;s tab in java
Q2	3	Is there a way to take away focus in javafx?
Q3	3	Why does my key binding fails to work when I click an irrelevant button?
Q4	3	How to enable commit on focusLost for TableView/TreeTableView?
Q5	3	Traverse JDateChooser with Enter Key
Q6	2	Maintaining Focus While Not On Top Java
Q7	2	Make selected item scaled in listview
Q8	2	JAVA FX ScrollPane Does Not Allow To Request Focus On A Field
Q9	2	JavaFX: How to manage the focus tranversal in a borderpane [resolved]
Q10	2	System-Overlaying Keylistener in java
