Number	Votes	Question
Q1	4	fastest formula to get Hue from RGB
Q2	3	How to create BufferedImage for 32 bits per sample  3 samples image data
Q3	2	Getting all RGB colors of an image
Q4	2	How to create X% percent gray color in Java?
Q5	2	Making an RGB get closest colour algorithm more accurate
Q6	2	RGB color space to raw color name mapping
Q7	2	Use an ArrayList to display multiple vector Objects Java
Q8	2	How to flip BufferedImage in java
Q9	2	Using BufferedImage in Java
Q10	2	Reading and Writing an image using BufferedImage
