Number	Votes	Question
Q1	15	Solutions for too many parameters
Q2	5	Calling a method and passing an object reference and catching the return with same reference
Q3	5	How to return reference to object as parameter in Java
Q4	4	Why can&#39;t I pass in java an array of short to method accepting array of int?
Q5	4	Java: Inheriting class can not be converted to super class in method parameter
Q6	3	Passing System.out.println(); as an argument in a method
Q7	2	Passing objects to Method and change attributes
Q8	2	Pass Class object to a method
Q9	2	unexpected output in code in passing array in java
Q10	2	Pass Function with Parameter-Defined Behavior in Java
