Number	Votes	Question
Q1	7	How do I run a file using Java?
Q2	7	How to get Audio for encoding using Xuggler
Q3	6	android repeatedly play a mp3 file without any gap
Q4	6	Wrong values in calculating Frequency using FFT
Q5	5	Mixing two audio streams into a single audio stream in android?
Q6	5	Jitsi - Playing a WAV file during call - If possible  mix with audio
Q7	5	java sound on linux: how to capture from TargetDataLine quickly enough to keep up?
Q8	4	Android code to Broadcast live audio stream from phone
Q9	4	Java voice recognition for very small dictionary
Q10	4	How can I monitor/sample output audio in Java or C?
